"Category","Date","Title","Slug","Url","SourcePage","ImageUrl","LocalPath"
"Poetry","2022-10-12T18:38:13.920Z","Tannoy","tannoy","https://www.catconnolly.com/post/tannoy","https://www.catconnolly.com/writings/categories/poetry/page/2","https://static.wixstatic.com/media/aacaad_fdc51f51696d44efbde854c0769d0987~mv2.jpg","assets/images/writings/aacaad_fdc51f51696d44efbde854c0769d0987~mv2.jpg"
"Poetry","2022-10-12T18:36:48.234Z","Turquoise","turquoise","https://www.catconnolly.com/post/turquoise","https://www.catconnolly.com/writings/categories/poetry/page/2","https://static.wixstatic.com/media/aacaad_16443f803ef644b99061c1aec90dfaad~mv2.jpg","assets/images/writings/aacaad_16443f803ef644b99061c1aec90dfaad~mv2.jpg"
"Poetry","2022-10-12T18:35:54.437Z","Fairy Songs","fairy-songs","https://www.catconnolly.com/post/fairy-songs","https://www.catconnolly.com/writings/categories/poetry/page/2","https://static.wixstatic.com/media/aacaad_cfc53678dc4340bd85e3873d0458e054~mv2.jpg","assets/images/writings/aacaad_cfc53678dc4340bd85e3873d0458e054~mv2.jpg"
"Poetry","2022-10-12T18:34:28.470Z","Resolutions","resolutions","https://www.catconnolly.com/post/resolutions","https://www.catconnolly.com/writings/categories/poetry/page/2","https://static.wixstatic.com/media/aacaad_aad242e982174ce1a2d72f626af70ac2~mv2.jpg","assets/images/writings/aacaad_aad242e982174ce1a2d72f626af70ac2~mv2.jpg"
"Poetry","2022-10-12T18:32:40.989Z","Caring","caring","https://www.catconnolly.com/post/caring","https://www.catconnolly.com/writings/categories/poetry/page/2","https://static.wixstatic.com/media/aacaad_e376dc00020b4646aba7828deb72b2e6~mv2.jpg","assets/images/writings/aacaad_e376dc00020b4646aba7828deb72b2e6~mv2.jpg"
"Poetry","2022-10-12T18:30:56.675Z","This is my body","this-is-my-body","https://www.catconnolly.com/post/this-is-my-body","https://www.catconnolly.com/writings/categories/poetry/page/2","https://static.wixstatic.com/media/aacaad_455b676cd585439294c7ea66a5e63048~mv2.jpg","assets/images/writings/aacaad_455b676cd585439294c7ea66a5e63048~mv2.jpg"
"Poetry","2022-10-12T18:29:26.195Z","The Valley of the Shadow","the-valley-of-the-shadow","https://www.catconnolly.com/post/the-valley-of-the-shadow","https://www.catconnolly.com/writings/categories/poetry/page/2","https://static.wixstatic.com/media/aacaad_680d531b3d994783a40d4ffcc8f1a43b~mv2.jpg","assets/images/writings/aacaad_680d531b3d994783a40d4ffcc8f1a43b~mv2.jpg"
"Poetry","2022-10-12T18:27:57.249Z","Going Home","going-home","https://www.catconnolly.com/post/going-home","https://www.catconnolly.com/writings/categories/poetry/page/2","https://static.wixstatic.com/media/aacaad_c815a7f5cc164ae8b2dab9dfc2077abb~mv2.jpg","assets/images/writings/aacaad_c815a7f5cc164ae8b2dab9dfc2077abb~mv2.jpg"
"Poetry","2022-10-12T18:26:51.285Z","Unity","unity","https://www.catconnolly.com/post/unity","https://www.catconnolly.com/writings/categories/poetry/page/2","https://static.wixstatic.com/media/aacaad_07b56f2ecab046e2b8aca527dad17bf0~mv2.jpg","assets/images/writings/aacaad_07b56f2ecab046e2b8aca527dad17bf0~mv2.jpg"
"Poetry","2022-10-12T18:05:28.007Z","Looking for God","looking-for-god","https://www.catconnolly.com/post/looking-for-god","https://www.catconnolly.com/writings/categories/poetry/page/2","https://static.wixstatic.com/media/aacaad_d4c7da1fd7144adca4b898c1b597100c~mv2.jpg","assets/images/writings/aacaad_d4c7da1fd7144adca4b898c1b597100c~mv2.jpg"
"Poetry","2022-10-12T17:53:37.967Z","Gifted","gifted","https://www.catconnolly.com/post/gifted","https://www.catconnolly.com/writings/categories/poetry/page/2","https://static.wixstatic.com/media/aacaad_d38737f493da4dddb52bfdaa17360f92~mv2.png","assets/images/writings/aacaad_d38737f493da4dddb52bfdaa17360f92~mv2.png"
"Essays","2022-10-12T18:59:52.902Z","On Cats and the Queen","on-cats-and-the-queen","https://www.catconnolly.com/post/on-cats-and-the-queen","https://www.catconnolly.com/writings/categories/essays","https://static.wixstatic.com/media/aacaad_84ba2b5e2bc345098a915c44140a9a7e~mv2.jpg","assets/images/writings/aacaad_84ba2b5e2bc345098a915c44140a9a7e~mv2.jpg"
